,2024-04-30,2024-01-31,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-10-31
Free Cash Flow,14976000000.0,11245000000.0,7054000000.0,6059000000.0,2663000000.0,,
Repurchase Of Capital Stock,-7740000000.0,-2659000000.0,-3807000000.0,-3067000000.0,0.0,,
Repayment Of Debt,,0.0,0.0,,,0.0,0.0
Issuance Of Debt,,,,,,0.0,0.0
Capital Expenditure,-369000000.0,-254000000.0,-278000000.0,-289000000.0,-248000000.0,,
Income Tax Paid Supplemental Data,,1873000000.0,4348000000.0,,,32000000.0,264000000.0
End Cash Position,7587000000.0,7280000000.0,5519000000.0,5882000000.0,5079000000.0,,
Beginning Cash Position,7280000000.0,5519000000.0,5882000000.0,5079000000.0,3389000000.0,,
Changes In Cash,307000000.0,1761000000.0,-363000000.0,803000000.0,1690000000.0,,
Financing Cash Flow,-9345000000.0,-3629000000.0,-4525000000.0,-5099000000.0,-380000000.0,,
Cash Flow From Continuing Financing Activities,-9345000000.0,-3629000000.0,-4525000000.0,-5099000000.0,-380000000.0,,
Net Other Financing Charges,-1792000000.0,-871000000.0,-777000000.0,-683000000.0,-527000000.0,,
Proceeds From Stock Option Exercised,285000000.0,0.0,156000000.0,1000000.0,246000000.0,,
Cash Dividends Paid,-98000000.0,-99000000.0,-97000000.0,-100000000.0,-99000000.0,,
Common Stock Dividend Paid,-98000000.0,,,,-99000000.0,-98000000.0,-100000000.0
Net Common Stock Issuance,-7740000000.0,-2659000000.0,-3807000000.0,-3067000000.0,0.0,,
Common Stock Payments,-7740000000.0,-2659000000.0,-3807000000.0,-3067000000.0,0.0,,
Net Issuance Payments Of Debt,,0.0,0.0,,,0.0,0.0
Net Long Term Debt Issuance,,0.0,0.0,,,0.0,0.0
Long Term Debt Payments,,0.0,0.0,,,0.0,0.0
Long Term Debt Issuance,,,,,,0.0,0.0
Investing Cash Flow,-5693000000.0,-6109000000.0,-3170000000.0,-446000000.0,-841000000.0,,
Cash Flow From Continuing Investing Activities,-5693000000.0,-6109000000.0,-3170000000.0,-446000000.0,-841000000.0,,
Net Investment Purchase And Sale,-5150000000.0,-5855000000.0,-2892000000.0,-378000000.0,-289000000.0,,
Sale Of Investment,4153000000.0,1781000000.0,2890000000.0,2599000000.0,2512000000.0,,
Purchase Of Investment,-9303000000.0,-7636000000.0,-5782000000.0,-2977000000.0,-2801000000.0,,
Net Business Purchase And Sale,-174000000.0,0.0,0.0,221000000.0,-304000000.0,,
Purchase Of Business,-174000000.0,0.0,0.0,221000000.0,-304000000.0,,
Net PPE Purchase And Sale,-369000000.0,-254000000.0,-278000000.0,-289000000.0,-248000000.0,,
Purchase Of PPE,-369000000.0,-254000000.0,-278000000.0,-289000000.0,-248000000.0,,
Operating Cash Flow,15345000000.0,11499000000.0,7332000000.0,6348000000.0,2911000000.0,,
Cash Flow From Continuing Operating Activities,15345000000.0,11499000000.0,7332000000.0,6348000000.0,2911000000.0,,
Change In Working Capital,834000000.0,-1719000000.0,-2733000000.0,-174000000.0,904000000.0,,
Change In Other Current Liabilities,323000000.0,306000000.0,-28000000.0,131000000.0,105000000.0,,
Change In Payables And Accrued Expense,4180000000.0,1353000000.0,-1261000000.0,2764000000.0,700000000.0,,
Change In Accrued Expense,4202000000.0,1072000000.0,-1722000000.0,1986000000.0,689000000.0,,
Change In Payable,-22000000.0,281000000.0,461000000.0,778000000.0,11000000.0,,
Change In Account Payable,-22000000.0,281000000.0,461000000.0,778000000.0,11000000.0,,
Change In Prepaid Assets,-726000000.0,-1185000000.0,255000000.0,-377000000.0,-215000000.0,,
Change In Inventory,-577000000.0,-503000000.0,-456000000.0,295000000.0,566000000.0,,
Change In Receivables,-2366000000.0,-1690000000.0,-1243000000.0,-2987000000.0,-252000000.0,,
Changes In Account Receivables,-2366000000.0,-1690000000.0,-1243000000.0,-2987000000.0,-252000000.0,,
Other Non Cash Items,-145000000.0,-108000000.0,-68000000.0,-68000000.0,-34000000.0,,
Stock Based Compensation,1011000000.0,994000000.0,979000000.0,841000000.0,735000000.0,,
Deferred Tax,-1577000000.0,-78000000.0,-530000000.0,-746000000.0,-1135000000.0,,
Deferred Income Tax,-1577000000.0,-78000000.0,-530000000.0,-746000000.0,-1135000000.0,,
Depreciation Amortization Depletion,410000000.0,387000000.0,372000000.0,365000000.0,384000000.0,,
Depreciation And Amortization,410000000.0,387000000.0,372000000.0,365000000.0,384000000.0,,
Operating Gains Losses,-69000000.0,-262000000.0,69000000.0,-59000000.0,14000000.0,,
Gain Loss On Investment Securities,-69000000.0,-262000000.0,69000000.0,-59000000.0,14000000.0,,
Net Income From Continuing Operations,14881000000.0,12285000000.0,9243000000.0,6189000000.0,2043000000.0,,
